time,S19J,S17,S9,M30,M20,type 
 2020-02-29,2398,1371,86,2593,1580,actual 
 2020-03-31,2412,1245,45,2250,1448,actual 
 2020-04-30,2220,1432,47,2199,1550,actual 
 2020-05-31,2550,1275,33,2284,1361,actual 
 2020-06-30,2676,1266,33,2292,1109,actual 
 2020-07-31,2727,1373,45,2404,1302,actual 
 2020-08-31,2973,1190,42,2620,1178,actual 
 2020-09-30,2695,1021,32,2330,1055,actual 
 2020-10-31,3360,1285,45,2178,1318,actual 
 2020-11-30,4103,1383,93,3229,1526,actual 
 2020-12-31,7231,2415,154,4504,3157,actual 
 2021-01-31,8427,3191,241,7635,3939,actual 
 2021-02-28,10337,4111,354,9927,4974,actual 
 2021-03-31,11851,4936,594,10548,6224,actual 
 2021-04-30,11452,4117,528,10480,5634,actual 
 2021-05-31,8416,3065,364,6278,3825,actual 
 2021-06-30,6370,2506,252,8074,3001,actual 
 2021-07-31,8857,3183,351,9310,4075,actual 
 2021-08-31,9772,4164,305,9709,4239,actual 
 2021-09-30,10239,3456,313,10127,4099,actual 
 2021-10-31,10319,4239,370,10120,4500,actual 
 2021-11-30,10152,4488,364,9509,4435,actual 
 2021-12-31,9686,2811,331,9426,4104,actual 
 2022-01-31,9386,2933,286,9275,4033,actual 
 2022-02-28,8603,2946,309,7910,3827,actual 
 2022-03-31,7925,2707,263,7126,3533,actual 
 2022-04-30,6562,2292,240,6575,2702,actual 
 2022-05-31,5093,1444,124,4747,1734,actual 
 2022-06-30,3713,1549,135,3719,1480,actual 
 2022-07-31,3301,1068,107,3475,1382,actual 
 2022-08-31,3088,1277,62,3269,1350,actual 
 2022-09-30,2456,1128,57,2586,972,actual